JSON Name,Kernel Name,Kernel Time,Total Time,M,N,K,m,n,k
1x240x425w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x240x425_f64,22649,325413,1,240,425,1,48,85
1x240x595w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x240x595_f64,31359,333299,1,240,595,1,48,85
1x240x765w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x240x765_f64,39654,342067,1,240,765,1,48,85
1x288x85w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x288x85_f64,6285,309755,1,288,85,1,48,85
1x288x255w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x288x255_f64,16485,319833,1,288,255,1,48,85
1x288x425w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x288x425_f64,26682,332091,1,288,425,1,48,85
1x288x595w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x288x595_f64,36889,340861,1,288,595,1,48,85
1x288x765w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x288x765_f64,47233,351650,1,288,765,1,48,85
1x336x85w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x336x85_f64,7312,314197,1,336,85,1,48,85
1x336x255w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x336x255_f64,18605,324363,1,336,255,1,48,85
1x336x425w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x336x425_f64,30428,337667,1,336,425,1,48,85
1x336x595w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x336x595_f64,41933,347793,1,336,595,1,48,85
1x336x765w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x336x765_f64,53543,358273,1,336,765,1,48,85
1x384x85w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x384x85_f64,7980,316581,1,384,85,1,48,85
1x384x255w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x384x255_f64,21058,329471,1,384,255,1,48,85
1x384x425w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x384x425_f64,34684,344208,1,384,425,1,48,85
1x384x595w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x384x595_f64,47585,357021,1,384,595,1,48,85
1x384x765w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x384x765_f64,60736,369933,1,384,765,1,48,85
1x432x85w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x432x85_f64,8845,320693,1,432,85,1,48,85
1x432x255w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x432x255_f64,23540,334764,1,432,255,1,48,85
1x432x425w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x432x425_f64,38078,348953,1,432,425,1,48,85
1x432x595w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x432x595_f64,52843,363809,1,432,595,1,48,85
1x432x765w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x432x765_f64,67535,378871,1,432,765,1,48,85
1x48x90w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x48x90_f64,1726,294753,1,48,90,1,48,90
1x48x270w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x48x270_f64,3514,296087,1,48,270,1,48,90
1x48x450w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x48x450_f64,5297,298493,1,48,450,1,48,90
1x48x630w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x48x630_f64,7075,300228,1,48,630,1,48,90
1x48x810w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x48x810_f64,7075,300228,1,48,810,1,48,90
1x96x90w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x96x90_f64,2878,298139,1,96,90,1,48,90
1x96x270w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x96x270_f64,7001,302089,1,96,270,1,48,90
1x96x450w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x96x450_f64,11246,306466,1,96,450,1,48,90
1x96x630w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x96x630_f64,15500,309671,1,96,630,1,48,90
1x96x810w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x96x810_f64,19715,314696,1,96,810,1,48,90
1x144x90w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x144x90_f64,3797,300501,1,144,90,1,48,90
1x144x270w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x144x270_f64,9522,306730,1,144,270,1,48,90
1x144x450w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x144x450_f64,15436,312749,1,144,450,1,48,90
1x144x630w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x144x630_f64,21158,318671,1,144,630,1,48,90
1x144x810w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x144x810_f64,27049,325092,1,144,810,1,48,90
1x192x90w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x192x90_f64,4755,307010,1,192,90,1,48,90
1x192x270w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x192x270_f64,12015,311561,1,192,270,1,48,90
1x192x450w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x192x450_f64,19457,319769,1,192,450,1,48,90
1x192x630w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x192x630_f64,26938,327153,1,192,630,1,48,90
1x192x810w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x192x810_f64,34405,334432,1,192,810,1,48,90
1x240x90w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x240x90_f64,5558,307191,1,240,90,1,48,90
1x240x270w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x240x270_f64,14494,315512,1,240,270,1,48,90
1x240x450w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x240x450_f64,14494,315512,1,240,450,1,48,90
1x240x630w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x240x630_f64,14494,315512,1,240,630,1,48,90
1x240x810w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x240x810_f64,41761,343153,1,240,810,1,48,90
1x288x90w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x288x90_f64,6509,310323,1,288,90,1,48,90
1x288x270w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x288x270_f64,6509,310323,1,288,270,1,48,90
1x288x450w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x288x450_f64,27797,331678,1,288,450,1,48,90
1x288x630w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x288x630_f64,38493,342777,1,288,630,1,48,90
1x288x810w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x288x810_f64,49240,353917,1,288,810,1,48,90
1x336x90w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x336x90_f64,7334,313677,1,336,90,1,48,90
1x336x270w1-48-90,main$async_dispatch_0_matmul_transpose_b_1x336x270_f64,19424,325977,1,336,270,1,48,90
